collection,total,cc_license,cc_by,open_gov,custom_permanent,custom_temporary,custom_other,unknown
AAAS,162,155,155,NA,NA,NA,6,1
ACP,245,NA,NA,NA,245,NA,NA,NA
ACS,577,48,29,NA,NA,501,24,4
AOSIS,47,47,47,NA,NA,NA,NA,NA
ASME,22,NA,NA,NA,22,NA,NA,NA
BMJ,1410,976,162,NA,NA,421,NA,13
CUP,1773,1518,1508,NA,245,3,NA,7
ELS,63900,3229,678,NA,44,59402,22,1203
IEEE,79,67,67,NA,NA,NA,NA,12
IOP,42,NA,NA,NA,NA,42,NA,NA
JMIR,6,6,6,NA,NA,NA,NA,NA
KARGER,457,63,4,NA,347,NA,NA,47
NEJM,365,NA,NA,NA,311,NA,NA,54
OUP,9202,2449,691,134,3681,115,2676,147
RS,205,1,1,NA,198,NA,NA,6
SAGE,710,702,524,NA,1,NA,NA,7
SN,55597,14971,14501,1,NA,38516,12,2097
TF,725,66,33,NA,609,NA,1,49
THIEME,357,57,2,NA,298,NA,NA,2
UTORONTO,11,NA,NA,NA,11,NA,NA,NA
WILEY,13936,1705,926,NA,171,11528,124,408
WK,1688,294,62,5,1373,NA,1,15
