collection,total,cc_license,cc_by,open_gov,custom_permanent,custom_temporary,custom_other,unknown
AAAS,262,249,249,NA,NA,NA,9,4
ACP,351,NA,NA,NA,351,NA,NA,NA
ACS,1151,162,70,NA,NA,956,28,5
AOSIS,258,258,258,NA,NA,NA,NA,NA
ASME,22,NA,NA,NA,16,NA,NA,6
BMJ,3152,2512,456,NA,NA,621,NA,19
CUP,2702,1912,1891,10,762,2,NA,16
ELS,102677,8306,2107,NA,82,92750,17,1522
IEEE,433,256,237,NA,NA,NA,163,14
IOP,42,NA,NA,NA,NA,42,NA,NA
JMIR,90,90,90,NA,NA,NA,NA,NA
KARGER,811,163,12,NA,548,NA,NA,100
NEJM,380,NA,NA,NA,225,NA,NA,155
OUP,16574,5090,2417,369,3942,114,6867,192
RS,249,2,2,NA,241,NA,NA,6
SAGE,2372,1323,817,NA,958,14,NA,77
SN,100772,36006,34924,1,NA,60925,8,3832
TF,967,99,34,NA,745,NA,2,121
THIEME,366,57,2,NA,307,NA,NA,2
UTORONTO,42,NA,NA,NA,42,NA,NA,NA
WILEY,26200,5537,2762,NA,171,19737,186,569
WK,3416,671,149,13,2707,NA,1,24
