collection,total,cc_license,cc_by,open_gov,custom_permanent,custom_temporary,custom_other,unknown
ACS,34,NA,NA,NA,NA,34,NA,NA
AIP,22,18,18,NA,NA,NA,NA,4
BMJ,2,2,NA,NA,NA,NA,NA,NA
CUP,42,7,7,NA,34,NA,NA,1
ELS,16167,NA,NA,NA,NA,16071,NA,96
IOP,35,NA,NA,NA,NA,35,NA,NA
OUP,1906,384,79,18,1206,NA,237,61
SAGE,7,7,7,NA,NA,NA,NA,NA
SN,13706,2300,2194,NA,NA,11386,3,17
TF,114,31,19,NA,83,NA,NA,NA
