collection,total,cc_license,cc_by,open_gov,custom_permanent,custom_temporary,custom_other,unknown
AAAS,75,72,72,NA,NA,NA,2,1
ACP,175,NA,NA,NA,175,NA,NA,NA
ACS,359,NA,NA,NA,NA,359,NA,NA
AOSIS,41,41,41,NA,NA,NA,NA,NA
ASME,22,NA,NA,NA,22,NA,NA,NA
BMJ,655,437,61,NA,NA,218,NA,NA
CUP,1157,1032,1028,NA,120,NA,NA,5
ELS,49624,7,1,NA,5,48821,1,790
IEEE,44,37,37,NA,NA,NA,NA,7
IOP,42,NA,NA,NA,NA,42,NA,NA
KARGER,268,39,2,NA,227,NA,NA,2
OUP,5599,1152,323,113,1583,118,2564,69
RS,154,1,1,NA,153,NA,NA,NA
SAGE,483,481,355,NA,1,NA,NA,1
SN,36134,8617,8330,1,NA,27494,5,17
TF,465,40,23,NA,402,NA,1,22
THIEME,289,55,2,NA,234,NA,NA,NA
WILEY,11498,1111,634,NA,NA,10254,122,11
WK,1249,168,29,5,1075,NA,1,NA
