collection,total,cc_license,cc_by,open_gov,custom_permanent,custom_temporary,custom_other,unknown
AAAS,27,26,26,NA,NA,NA,NA,1
ACS,91,NA,NA,NA,NA,91,NA,NA
AIP,23,18,18,NA,NA,NA,1,4
ASME,22,NA,NA,NA,22,NA,NA,NA
BMJ,117,107,11,NA,NA,10,NA,NA
CUP,341,294,293,NA,44,NA,NA,3
ELS,29642,7,1,NA,5,29285,1,344
IEEE,31,31,31,NA,NA,NA,NA,NA
IOP,36,NA,NA,NA,NA,36,NA,NA
KARGER,71,6,NA,NA,65,NA,NA,NA
OUP,2669,522,109,28,1226,118,707,68
RS,78,1,1,NA,77,NA,NA,NA
SAGE,119,119,76,NA,NA,NA,NA,NA
SN,19698,3618,3470,NA,NA,16060,3,17
TF,224,32,19,NA,191,NA,1,NA
THIEME,48,1,NA,NA,47,NA,NA,NA
WILEY,6430,471,256,NA,NA,5908,40,11
WK,541,71,17,1,469,NA,NA,NA
